date,unidadmedida,amazonas,antioquia,arauca,atlantico,bogota,bolivar,boyaca,caldas,caqueta,casanare,cauca,cesar,choco,cordoba,cundinamarca,guainia,guaviare,huila,la guajira,magdalena,meta,narino,norte de santander,putumayo,quindio,risaralda,san andres providencia,santander,sucre,tolima,valle del cauca,vaupes,vichada
2021-03-08,mm,0.25,42.515,1.3,0.0,3.9000000000000004,32.76,7.5,29.0,31.2,0.0,32.7,0.0,12.6,0.0,33.0,8.387361769352292,5.676525821596243,68.4,0.0,6.609999999999999,0.4,25.0,0.0,12.0,11.6,13.899999999999999,8.027886872998934,3.34,0.0,195.39999999999998,192.39999999999998,4.17710843373494,7.151162790697675
2021-03-09,mm,13.65,242.1,64.3,0.25,26.0,12.5,277.8,48.0,2.7,2.1,36.7,0.0,441.3,181.1,126.2,0.0,5.676525821596243,26.2,1.11,14.88,0.43,105.051,0.01,2.0,29.1,35.4,0.0,15.899999999999999,0.0,5.2,129.1,0.0,7.151162790697675
2021-03-10,mm,25.32,298.074,32.9,14.94,2.7,10.799999999999999,388.8,287.5,102.6,2.4,77.6,0.0,1089.1999999999998,299.4,1822.1499999999999,0.0,5.676525821596243,92.2,0.0,12.57,3.2,226.375,23.85,7.4,132.6,255.667,3.6,72.56,4.1,101.19999999999999,257.575,4.5,7.151162790697675
2021-03-11,mm,18.66,481.59700000000004,73.9,13.51,24.88,41.5,340.7,243.4,0.0,1.3,64.0,0.0,983.4,347.2,400.813,0.1,5.676525821596243,226.0,0.0,13.100000000000001,1.0,202.08200000000002,7.199999999999999,2.0,187.0,117.33200000000001,3.7,205.06,8.4,264.5,461.599,0.0,7.151162790697675
2021-03-12,mm,17.74,397.854,63.300000000000004,12.23,43.01,10.8,304.90000000000003,437.9,4.1,0.9,46.4,0.0,1014.5,166.1,1951.518,0.3,5.676525821596243,288.0,0.0,16.53,6.8,193.335,10.6,1.0,149.0,115.098,3.0,87.58,16.3,139.0,398.524,0.7,7.151162790697675
2021-03-13,mm,24.52,314.451,61.6,12.59,23.37,17.9,561.8,89.2,32.8,29.1,40.300000000000004,0.0,966.6999999999999,86.8,191.60999999999999,1.5,5.676525821596243,266.5,0.1,17.49,13.5,184.39,3.9,3.4,5.5,62.729,1.5,91.74000000000001,5.1,74.9,127.00500000000001,0.0,7.151162790697675
2021-03-14,mm,4.0,278.777,33.5,8.37,40.83,20.5,570.2,46.4,17.1,2.0,61.5,1.5,1000.8,220.1,1611.003,1.2,5.676525821596243,56.6,0.1,13.28,1.4,92.14,18.4,0.6,1.1,25.7,0.0,155.02,4.5,49.1,26.599999999999998,0.0,7.151162790697675
2021-03-15,mm,10.85,486.783,135.1,15.01,84.3,13.9,866.7,81.8,53.7,51.6,69.6,0.2,1011.5999999999999,183.8,2079.177,0.0,5.676525821596243,254.3,0.1,14.4,2.4,195.364,49.300000000000004,42.6,225.3,31.176000000000002,0.3,82.14,5.6000000000000005,249.9,398.088,1.5,7.151162790697675
2021-03-16,mm,4.23,270.161,93.2,13.39,11.49,50.67,367.8,86.89999999999999,13.2,23.6,33.4,8.899999999999999,973.8,257.5,1605.9450000000002,3.7,5.676525821596243,192.3,4.779999999999999,8.0,52.89,214.562,33.0,0.2,54.2,31.572000000000003,0.0,111.11999999999999,33.3,221.9,52.004,1.6,7.151162790697675
2021-03-17,mm,0.0,723.599,66.7,11.98,6.4,103.89999999999999,590.6,327.6,24.7,45.2,76.1,0.0,1104.3,141.3,1793.0,0.4,5.676525821596243,31.2,0.1,6.9,9.55,134.579,62.7,5.0,89.6,162.705,3.8,208.48,2.1,20.2,239.174,2.9,7.151162790697675
2021-03-18,mm,38.01,406.77099999999996,49.8,13.38,23.46,74.17,497.3,182.0,4.4,1.8,67.60000000000001,24.4,995.9,195.3,345.3,3.7,5.676525821596243,153.9,0.0,12.08,4.28,281.79900000000004,9.2,18.0,75.0,85.15,0.0,343.48,6.199999999999999,102.9,368.35200000000003,1.2,7.151162790697675
2021-03-19,mm,0.8200000000000001,352.207,32.800000000000004,13.0,63.78,96.60000000000001,435.59999999999997,101.1,19.599999999999998,0.8,96.2,9.8,1045.6,287.40000000000003,1633.5,0.0,5.676525821596243,15.799999999999999,0.3,28.62,0.0,212.838,33.5,0.8,140.1,59.0,0.0,27.56,3.5,31.1,124.251,1.0,7.151162790697675
2021-03-20,mm,0.09,411.298,31.0,16.06,1.5,11.0,420.8,161.5,3.0,2.6999999999999997,13.6,0.0,1053.8,351.20000000000005,1615.7,0.0,5.676525821596243,88.0,0.0,16.740000000000002,3.46,145.74399999999997,3.0,0.2,13.7,65.502,2.5,149.01999999999998,22.0,28.9,101.402,0.0,7.151162790697675
2021-03-21,mm,0.0,279.954,37.400000000000006,13.95,0.98,4.5,222.0,1.8,0.0,0.0,0.30000000000000004,0.0,1040.0,117.6,900.3999999999999,12.8,5.676525821596243,13.6,0.0,0.4,0.0,135.815,0.0,0.0,80.3,10.0,0.6,31.34,1.7,0.8,13.141,0.0,7.151162790697675
2021-03-22,mm,92.72999999999999,540.302,10.0,14.69,2.23,17.25,105.39999999999999,367.6,31.2,0.6,131.0,0.0,1086.7,150.0,1770.1,10.3,5.676525821596243,14.5,0.0,18.380000000000003,0.0,183.481,8.5,33.4,231.4,141.214,0.0,185.02,1.8,51.0,481.981,2.5,7.151162790697675
